,Brokers & sales team structure,Category trends & consumer behavior,Clean label & non-UPF,DTC & local market traction,Distribution (UNFI/KeHE),Ecommerce & Amazon,Formulation & co-packing operations,Founder journey & brand origin story,Fundraising & investor relations,Influencer marketing & creator partnerships,Label compliance & litigation risk,Legal structure & co-man contracts,M&A & exit strategy,Marketing spend & brand building,Packaging & format innovation,Pricing architecture & unit economics,Retail strategy & channel expansion,Sampling & in-store demos,Skincare & beauty CPG,Supply chain & sourcing,"Sustainability, impact & mission-driven brands",Team building & hiring,Trade shows & live events,Trade spend & deductions
AI tools & automation for CPG,1.0,4.0,0.0,0.0,3.0,14.0,1.0,14.0,4.0,1.0,1.0,1.0,13.0,3.0,0.0,4.0,10.0,5.0,0.0,0.0,11.0,3.0,2.0,1.0
Brokers & sales team structure,0.0,0.0,0.0,9.0,5.0,3.0,0.0,2.0,10.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,45.0,0.0,0.0,3.0,3.0,13.0,8.0,5.0
Category trends & consumer behavior,0.0,0.0,88.0,49.0,2.0,11.0,9.0,123.0,12.0,2.0,9.0,0.0,0.0,55.0,140.0,2.0,341.0,19.0,6.0,46.0,98.0,0.0,113.0,0.0
Clean label & non-UPF,0.0,0.0,0.0,4.0,0.0,0.0,12.0,7.0,0.0,2.0,38.0,0.0,0.0,1.0,29.0,1.0,29.0,3.0,8.0,47.0,44.0,0.0,14.0,0.0
DTC & local market traction,0.0,0.0,0.0,0.0,26.0,30.0,3.0,22.0,8.0,3.0,0.0,1.0,7.0,23.0,14.0,11.0,431.0,28.0,0.0,82.0,33.0,7.0,103.0,13.0
Distribution (UNFI/KeHE),0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,2.0,6.0,1.0,4.0,0.0,1.0,4.0,0.0,120.0,16.0,0.0,29.0,6.0,0.0,13.0,10.0
Ecommerce & Amazon,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,5.0,0.0,0.0,2.0,26.0,4.0,6.0,202.0,42.0,0.0,19.0,2.0,0.0,28.0,27.0
Formulation & co-packing operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,11.0,1.0,0.0,65.0,10.0,59.0,7.0,0.0,89.0,5.0,0.0,5.0,1.0
Founder journey & brand origin story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,144.0,0.0,20.0,53.0,242.0,23.0,3.0,216.0,36.0,10.0,32.0,283.0,121.0,57.0,1.0
Fundraising & investor relations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,46.0,96.0,262.0,0.0,30.0,82.0,4.0,0.0,5.0,51.0,67.0,55.0,7.0
Influencer marketing & creator partnerships,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,132.0,2.0,0.0,36.0,13.0,1.0,15.0,42.0,14.0,26.0,2.0
Label compliance & litigation risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,13.0,0.0,7.0,1.0,0.0,14.0,16.0,0.0,0.0,1.0
Legal structure & co-man contracts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,2.0,11.0,11.0,0.0,0.0,29.0,5.0,5.0,0.0,6.0
M&A & exit strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,20.0,45.0,0.0,0.0,5.0,31.0,9.0,1.0,9.0
Marketing spend & brand building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,201.0,50.0,2.0,7.0,111.0,12.0,54.0,13.0
Packaging & format innovation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,217.0,29.0,7.0,109.0,69.0,0.0,42.0,3.0
Pricing architecture & unit economics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,14.0,9.0,5.0,1.0,15.0
Retail strategy & channel expansion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,2.0,363.0,132.0,31.0,563.0,92.0
