topics,guest,host,gap
Fundraising & investor relations,0.07903144442576089,0.038991596638655465,0.040039847787105426
Marketing spend & brand building,0.054817555069783086,0.04067226890756302,0.014145286162220064
Founder journey & brand origin story,0.12174205481755507,0.1107563025210084,0.010985752296546664
"Sustainability, impact & mission-driven brands",0.04271061039179418,0.03361344537815126,0.009097165013642924
M&A & exit strategy,0.01824449302169161,0.009411764705882352,0.008832728315809259
Clean label & non-UPF,0.032032957793845636,0.02369747899159664,0.008335478802248997
Team building & hiring,0.024466117370102573,0.017478991596638654,0.006987125773463918
Supply chain & sourcing,0.0449806625189171,0.03882352941176471,0.006157133107152393
DTC & local market traction,0.031696653775012615,0.028403361344537813,0.0032932924304748014
Pricing architecture & unit economics,0.01034134857911552,0.00773109243697479,0.0026102561421407298
Influencer marketing & creator partnerships,0.02564318143601816,0.023361344537815125,0.002281836898203035
Skincare & beauty CPG,0.006473852362535732,0.005042016806722689,0.0014318355558130425
Formulation & co-packing operations,0.01353623675802926,0.01310924369747899,0.00042699306055026844
Label compliance & litigation risk,0.008827980494366908,0.008403361344537815,0.0004246191498290929
Trade spend & deductions,0.00924836051790819,0.008907563025210084,0.00034079749269810486
Founder introductions & where-to-find,0.04876408273078863,0.04873949579831933,2.4586932469303213e-05
Brokers & sales team structure,0.0053808643013284006,0.005546218487394958,-0.0001653541860665575
Legal structure & co-man contracts,0.011350260635614595,0.011764705882352941,-0.00041444524673834617
Packaging & format innovation,0.03253741382209517,0.03411764705882353,-0.0015802332367283595
Category trends & consumer behavior,0.08289894064234067,0.08571428571428572,-0.002815345071945044
Ecommerce & Amazon,0.013872540776862284,0.01680672268907563,-0.0029341819122133458
Distribution (UNFI/KeHE),0.008407600470825626,0.011764705882352941,-0.003357105411527315
AI tools & automation for CPG,0.00765091642845132,0.011596638655462186,-0.003945722227010865
Retail strategy & channel expansion,0.13485791155204305,0.14016806722689076,-0.005310155674847716
Sampling & in-store demos,0.0261476374642677,0.03747899159663866,-0.01133135413237096
Trade shows & live events,0.05128636287203632,0.08890756302521008,-0.03762120015317376
Community events & brand announcements,0.0530519589709097,0.09899159663865546,-0.04593963766774576
