topics,Recent (last 4Q),Older,Delta
Fundraising & investor relations,0.10230340100667175,0.046499920136607684,0.055803480870064065
Founder journey & brand origin story,0.16180939084276677,0.13670974654129048,0.025099644301476293
M&A & exit strategy,0.02924302787926928,0.009204379852753972,0.02003864802651531
Legal structure & co-man contracts,0.021320259060069967,0.007803000446576563,0.013517258613493404
Clean label & non-UPF,0.03519334940369259,0.024498478850364044,0.010694870553328548
Team building & hiring,0.027063548193315898,0.018538305274016686,0.008525242919299212
Pricing architecture & unit economics,0.012665584239686792,0.00781045430027769,0.004855129939409101
Marketing spend & brand building,0.057128903146719826,0.0526278955893507,0.004501007557369124
Packaging & format innovation,0.03408711549345028,0.03165349309514429,0.0024336223983059888
Skincare & beauty CPG,0.007724147887076448,0.005586363788472515,0.0021377840986039325
AI tools & automation for CPG,0.009469756439081212,0.007558634445310619,0.0019111219937705927
Label compliance & litigation risk,0.0093440525465915,0.007612430145574967,0.0017316224010165329
Influencer marketing & creator partnerships,0.024835527267381703,0.023201172407484573,0.0016343548598971303
Formulation & co-packing operations,0.016217459835801792,0.015555050810271587,0.0006624090255302056
"Sustainability, impact & mission-driven brands",0.052654974020721126,0.05485920740053922,-0.0022042333798180935
Category trends & consumer behavior,0.0919831577604491,0.09445557821062954,-0.0024724204501804375
Ecommerce & Amazon,0.014764751050277554,0.017868499741185345,-0.003103748690907791
Brokers & sales team structure,0.0028908402961685476,0.006150840762655018,-0.003260000466486471
DTC & local market traction,0.028505047520796675,0.033160750742403336,-0.004655703221606661
Sampling & in-store demos,0.021945978451611954,0.031950350449039835,-0.010004371997427881
Trade spend & deductions,0.004784929527229727,0.015162740706201088,-0.010377811178971361
Distribution (UNFI/KeHE),0.005057179096110052,0.01644544388106976,-0.011388264784959707
Retail strategy & channel expansion,0.12962115971824517,0.15157379614556904,-0.02195263642732387
Supply chain & sourcing,0.042852247024200554,0.06812165457562998,-0.025269407551429424
Trade shows & live events,0.05653421229261367,0.11539181170158148,-0.058857599408967815
